question,answer
what is dictionary comprehension,Dictionary comprehension creates dictionaries concisely. Syntax: {key: value for item in iterable}. Example: {x: x**2 for x in range(5)} creates {0:0 1:1 2:4 3:9 4:16}.
what is set comprehension,Set comprehension creates sets concisely. Syntax: {expression for item in iterable}. Example: {x%3 for x in range(10)} creates a set of remainders when divided by 3.
what is exception handling in python,Exception handling uses try except else and finally blocks to manage errors gracefully. Code that might fail goes in try and error handling goes in except. finally always runs regardless of outcome.
what is a try except block,A try-except block catches and handles exceptions. Code in try runs normally. If an error occurs Python jumps to the matching except block instead of crashing. You can catch specific exceptions like ValueError or ZeroDivisionError.
what is the difference between list and tuple,Lists are mutable (can be changed after creation) while tuples are immutable (cannot be changed). Lists use square brackets and tuples use parentheses. Tuples are faster and used for fixed data.
what is the difference between == and is in python,== checks if two objects have the same value while is checks if they are the same object in memory. Example: [1 2] == [1 2] is True but [1 2] is [1 2] is False because they are different objects.
what is slicing in python,Slicing extracts a portion of a sequence. Syntax: sequence[start:stop:step]. Example: lst = [0 1 2 3 4]; lst[1:4] returns [1 2 3]. Negative indices count from the end.
what is *args in python,*args allows a function to accept any number of positional arguments. They are collected into a tuple. Example: def add(*args): return sum(args). You can call it as add(1 2 3 4 5).
what is **kwargs in python,**kwargs allows a function to accept any number of keyword arguments. They are collected into a dictionary. Example: def show(**kwargs): print(kwargs). Call it as show(name='Alice' age=25).
what is the global keyword in python,The global keyword declares that a variable inside a function refers to a global variable rather than creating a new local one. Example: global count — this allows modifying count from inside a function.
what is the nonlocal keyword,nonlocal is used inside nested functions to refer to a variable in the enclosing scope (not global). It allows modifying a variable from an outer function without making it global.
what is module in python,A module is a file containing Python code (functions classes variables) that can be imported into other programs using import. Example: import math gives access to math.sqrt() math.pi etc.
what is a package in python,A package is a directory containing multiple Python module files and an __init__.py file. It organizes related modules together. Example: the numpy package contains many submodules for numerical computing.
what is pip in python,pip is Python's package installer. It lets you install third-party libraries from PyPI. Common commands: pip install package_name to install pip uninstall package_name to remove and pip list to see all installed packages.
what is init in python,__init__ is a special constructor method called automatically when a new object is created from a class. It initializes the object's attributes. Example: def __init__(self name): self.name = name
what is self in python,self is the first parameter of instance methods in a class and refers to the current object instance. It allows methods to access and modify the object's attributes. It is a convention not a keyword.
what is dunder method in python,Dunder (double underscore) methods like __init__ __str__ __len__ are special Python methods with specific purposes. __str__ defines the string representation of an object shown when you print it.
what is method overriding in python,Method overriding is when a child class provides its own implementation of a method already defined in the parent class. Python uses the child's version when calling the method on a child object.
what is super() in python,super() returns a proxy object that delegates method calls to a parent class. Commonly used in __init__ to call the parent's constructor. Example: super().__init__(name) calls the parent class init.
what is multiple inheritance in python,Multiple inheritance allows a class to inherit from more than one parent class. Python uses MRO (Method Resolution Order) to determine which parent's method to use when there's a conflict.
what is MRO in python,Method Resolution Order (MRO) determines the order in which Python looks for methods in a class hierarchy with multiple inheritance. Python uses C3 linearization algorithm. You can view it with ClassName.__mro__.
what is an iterator in python,An iterator is an object that implements __iter__() and __next__() methods. It produces one item at a time when next() is called on it. All iterators are iterables but not all iterables are iterators.
what is the difference between iterator and iterable,An iterable is any object you can loop over (lists strings tuples). An iterator is an object that keeps track of its position and produces items one by one using next(). You get an iterator from an iterable using iter().
what is a closure in python,A closure is a function that remembers variables from its enclosing scope even after the outer function has finished executing. It captures the surrounding state and carries it along.
what is mutable and immutable in python,Mutable objects can be changed after creation (lists dicts sets). Immutable objects cannot be changed (strings tuples integers). Strings appear changeable but operations create new string objects.
what is shallow copy vs deep copy,A shallow copy creates a new object but references the same nested objects. A deep copy creates a completely independent copy including all nested objects. Use copy.copy() for shallow and copy.deepcopy() for deep.
what is the difference between append and extend in python,append() adds a single item to the end of a list. extend() adds all items from another iterable to the end. Example: [1 2].append([3 4]) gives [1 2 [3 4]] while [1 2].extend([3 4]) gives [1 2 3 4].
what is enumerate in python,enumerate() adds a counter to an iterable and returns (index value) pairs. Example: for i val in enumerate(['a' 'b' 'c']): — gives (0 'a') (1 'b') (2 'c'). Avoids manually tracking index.
what is zip in python,zip() combines multiple iterables into tuples of corresponding elements. Example: list(zip([1 2 3] ['a' 'b' 'c'])) returns [(1 'a') (2 'b') (3 'c')]. Stops at the shortest iterable.
what is sorted in python,sorted() returns a new sorted list from any iterable. Takes optional key and reverse parameters. Example: sorted([3 1 2]) returns [1 2 3]. sorted(words key=len) sorts by word length.
what is the difference between sort and sorted,sort() is a list method that sorts in place and returns None. sorted() is a built-in function that works on any iterable and returns a new sorted list leaving the original unchanged.
what is string formatting in python,Python supports f-strings (f'Hello {name}') format() method ('Hello {}'.format(name)) and % formatting. F-strings are the most modern and readable approach and support expressions inside curly braces.
what is split in python,split() divides a string into a list of substrings based on a delimiter. Example: 'a b c'.split() returns ['a' 'b' 'c']. 'a-b-c'.split('-') returns ['a' 'b' 'c'].
what is join in python,join() concatenates a list of strings with a specified separator. Example: '-'.join(['a' 'b' 'c']) returns 'a-b-c'. It is more efficient than concatenating strings in a loop.
what is strip in python,strip() removes leading and trailing whitespace (or specified characters) from a string. lstrip() removes from the left and rstrip() from the right. Example: '  hello  '.strip() returns 'hello'.
what is replace in python,replace() returns a new string with all occurrences of a substring replaced by another. Example: 'hello world'.replace('world' 'Python') returns 'hello Python'. The original string is not modified.
what is find in python,find() returns the index of the first occurrence of a substring in a string or -1 if not found. Example: 'hello'.find('l') returns 2. index() is similar but raises ValueError if not found.
what is a file operation in python,Python handles files using open() with modes: 'r' (read) 'w' (write) 'a' (append) 'rb'/'wb' (binary). Always use with statement for automatic closing. Example: with open('file.txt' 'r') as f: content = f.read()
what is recursion in python,Recursion is when a function calls itself to solve a smaller version of the same problem. It needs a base case to stop. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.
what is time complexity,Time complexity describes how runtime grows with input size using Big O notation. O(1) is constant O(n) is linear O(n²) is quadratic O(log n) is logarithmic. It helps compare algorithm efficiency.
what is space complexity,Space complexity measures how much memory an algorithm uses relative to input size. O(1) uses constant space regardless of input. O(n) uses space proportional to input size.
what is binary search,Binary search finds a target in a sorted array by repeatedly halving the search range. It compares the middle element with target and eliminates half the remaining elements. Time complexity is O(log n).
what is linear search,Linear search checks each element one by one from start to end until the target is found. Time complexity is O(n). Simple but slow for large datasets compared to binary search.
what is bubble sort,Bubble sort repeatedly swaps adjacent elements if they are in wrong order until the list is sorted. Time complexity is O(n²). It is simple but inefficient for large datasets.
what is selection sort,Selection sort finds the minimum element and places it at the beginning repeatedly. Time complexity is O(n²). It performs fewer swaps than bubble sort but still slow for large inputs.
what is insertion sort,Insertion sort builds the sorted array one element at a time by inserting each new element into its correct position. Time complexity is O(n²) worst case but O(n) for nearly sorted data.
what is merge sort,Merge sort divides the array in half recursively sorts each half then merges them back together. Time complexity is O(n log n). It is stable and efficient but requires extra space.
what is quick sort,Quick sort picks a pivot element and partitions the array into elements smaller and larger than the pivot then recursively sorts each partition. Average time complexity O(n log n) worst case O(n²).
what is a stack in python,A stack is a Last-In-First-Out (LIFO) data structure. In Python you can use a list as a stack with append() to push and pop() to pop. The collections.deque class is also efficient for stacks.
what is a queue in python,A queue is a First-In-First-Out (FIFO) data structure. Use collections.deque with append() to enqueue and popleft() to dequeue. The queue module also provides thread-safe Queue class.
what is a linked list,A linked list is a data structure where each element (node) contains data and a reference to the next node. Unlike arrays linked lists allow efficient insertion and deletion but slower random access.
what is a tree data structure,A tree is a hierarchical data structure with a root node and child nodes. Binary trees have at most 2 children per node. Common operations include insertion deletion search and traversal (inorder preorder postorder).
what is a graph in python,A graph is a collection of nodes (vertices) connected by edges. Can be directed or undirected weighted or unweighted. Represented using adjacency lists or matrices. Common algorithms: BFS DFS Dijkstra.
what is BFS in python,Breadth-First Search explores a graph level by level using a queue. It visits all neighbors of a node before going deeper. Used to find shortest path in unweighted graphs. Time complexity O(V+E).
what is DFS in python,Depth-First Search explores as far as possible along each branch before backtracking using a stack or recursion. Used for cycle detection topological sort and connected components. Time complexity O(V+E).
what is dynamic programming,Dynamic programming solves complex problems by breaking them into overlapping subproblems and storing results (memoization or tabulation) to avoid recomputation. Used in problems like fibonacci knapsack longest common subsequence.
what is memoization in python,Memoization stores the results of expensive function calls and returns cached results when the same inputs occur again. In Python use @functools.lru_cache decorator or a dictionary to cache results.
what is OOP in python,Object-Oriented Programming (OOP) organizes code around objects that combine data and behavior. The four pillars are encapsulation inheritance polymorphism and abstraction. Python supports OOP fully.
what is the difference between class and object,A class is a blueprint or template that defines attributes and methods. An object is a specific instance created from that class. Example: Dog is a class while my_dog = Dog('Rex') creates an object.
what is a static method in python,A static method belongs to a class but does not access the class or instance. Defined with @staticmethod decorator. It behaves like a regular function but is called on the class: MyClass.static_method().
what is a class method in python,A class method receives the class itself (cls) as the first argument instead of the instance. Defined with @classmethod decorator. Commonly used as alternative constructors.
what is property in python,@property decorator allows you to define a method that is accessed like an attribute. It enables getter setter and deleter functionality while keeping a clean attribute-like interface.
what is the difference between deep copy and shallow copy,Shallow copy creates a new object but nested objects are shared references. Deep copy creates a completely independent clone including all nested objects. Use copy module: copy.copy() vs copy.deepcopy().
what is __str__ vs __repr__,__str__ returns a human-readable string representation of an object used by print(). __repr__ returns an unambiguous developer-focused representation used in the console. If __str__ is missing Python falls back to __repr__.
what is pickling in python,Pickling serializes a Python object into a byte stream that can be saved to a file or transmitted. Unpickling deserializes it back. Use the pickle module. Useful for saving model state or complex objects.
what is threading in python,Threading allows multiple threads to run concurrently within a single process. In Python the Global Interpreter Lock (GIL) limits true parallelism for CPU-bound tasks but threading helps with I/O-bound tasks.
what is multiprocessing in python,Multiprocessing runs multiple processes each with its own memory space bypassing Python's GIL. Better for CPU-bound tasks. Use the multiprocessing module with Process Pool etc.
what is the GIL in python,The Global Interpreter Lock (GIL) is a mutex that allows only one thread to execute Python bytecode at a time in CPython. It prevents race conditions in memory management but limits CPU-bound multithreading performance.
what is async await in python,async def defines a coroutine function. await pauses execution until the awaited coroutine completes. Used with asyncio for asynchronous I/O-bound programming. Allows handling many tasks concurrently without threads.
what is asyncio in python,asyncio is Python's standard library for writing asynchronous concurrent code using async/await syntax. It uses an event loop to run coroutines concurrently. Great for web scraping APIs and I/O-heavy applications.
what is regex in python,Regular expressions (regex) are patterns for matching text. Python's re module provides functions like re.search() re.match() re.findall() re.sub(). Useful for validating input parsing logs and extracting data.
what is virtual environment in python,A virtual environment is an isolated Python environment with its own packages independent of the system Python. Created with python -m venv env. Activated with source env/bin/activate (Linux) or env\Scripts\activate (Windows).
what is type hinting in python,Type hints annotate function parameters and return types for readability and static analysis. Example: def add(a: int b: int) -> int: return a + b. Python doesn't enforce them at runtime but tools like mypy do.
what is dataclass in python,@dataclass decorator (Python 3.7+) automatically generates __init__ __repr__ and __eq__ methods for a class. Example: @dataclass class Point: x: float; y: float. Reduces boilerplate code significantly.
what is walrus operator in python,The walrus operator := (Python 3.8+) assigns a value to a variable as part of an expression. Example: if (n := len(data)) > 10: print(f'Too long: {n}'). Avoids computing the same value twice.
what is f-string in python,F-strings (formatted string literals) allow embedding expressions inside strings using curly braces. Example: name = 'Alice'; f'Hello {name}' returns 'Hello Alice'. They are faster and more readable than format().
what is the difference between range and xrange,In Python 3 range() returns a lazy range object (like Python 2's xrange) that generates numbers on demand. Python 2's range() returned a full list. In Python 3 xrange no longer exists.
what is collections module in python,The collections module provides specialized container data types: Counter (element counting) defaultdict (dict with default values) OrderedDict (insertion-ordered dict) deque (double-ended queue) namedtuple and more.
what is counter in python,Counter is a subclass of dict from the collections module that counts hashable objects. Example: Counter('hello') returns {'l': 2 'h': 1 'e': 1 'o': 1}. Useful for frequency analysis.
what is defaultdict in python,defaultdict is a dictionary subclass from collections that returns a default value for missing keys instead of raising KeyError. Example: defaultdict(list) returns an empty list for any missing key automatically.
what is namedtuple in python,namedtuple creates tuple subclasses with named fields. Example: Point = namedtuple('Point' ['x' 'y']); p = Point(1 2); p.x gives 1. More readable than regular tuples with no overhead.
what is itertools in python,itertools provides memory-efficient tools for working with iterators. Key functions: chain() (concatenate iterables) combinations() permutations() product() groupby() islice() and cycle(). Essential for combinatorial tasks.
what is functools in python,functools provides higher-order functions for working with callables. Key tools: lru_cache (memoization) partial (partial function application) reduce() wraps() (preserve decorator metadata) and total_ordering.
